Type,Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Region,Order State,Product Name,Shipping Mode,Year,Month,Sales,Days for shipment (scheduled),Order Item Discount Rate,Order Item Quantity
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,São Paulo,Brasil,South America,São Paulo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.89999774,4.0,0.1750000045,5
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Toluca,México,Central America,México,O'Brien Men's Neoprene Life Vest,Second Class,2015,1,199.9199982,2.0,0.059999999,4
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Escuintla,Guatemala,Central America,Escuintla,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,99.95999908,4.0,0.059999999,2
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Guantánamo,Cuba,Caribbean,Guantánamo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.8999939,4.0,0.02,5
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,La Ceiba,Honduras,Central America,Atlántida,O'Brien Men's Neoprene Life Vest,Second Class,2015,1,149.9400024,2.0,0.200000003,3
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Managua,Nicaragua,Central America,Managua,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.8999939,4.0,0.01,5
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Panama City,Panamá,Central America,Panamá,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,149.9400024,4.0,0.159999996,3
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Salvador,Brasil,South America,Bahía,O'Brien Men's Neoprene Life Vest,Second Class,2015,1,249.89999774,2.0,0.1000000015,5
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,San Salvador,El Salvador,Central America,San Salvador,O'Brien Men's Neoprene Life Vest,First Class,2015,1,249.8999939,1.0,0.200000003,5
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Santo Domingo,República Dominicana,Caribbean,Santo Domingo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,99.95999908,4.0,0.159999996,2
TRANSFER,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Tlalnepantla,México,Central America,México,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,149.9400024,4.0,0.01,3
TRANSFER,Indoor/Outdoor Games,Carmichael,EE. UU.,Corporate,CA,Fan Shop,LATAM,Tijuana,México,Central America,Baja California,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.8999939,4.0,0.02,5
TRANSFER,Indoor/Outdoor Games,Cerritos,EE. UU.,Corporate,CA,Fan Shop,LATAM,Santo Domingo,República Dominicana,Caribbean,Santo Domingo,O'Brien Men's Neoprene Life Vest,Same Day,2015,1,199.9199982,0.0,0.029999999,4
TRANSFER,Indoor/Outdoor Games,Chesapeake,EE. UU.,Corporate,VA,Fan Shop,LATAM,Tegucigalpa,Honduras,Central America,Francisco Morazán,O'Brien Men's Neoprene Life Vest,Second Class,2015,1,199.92000194,2.0,0.089999998,4
TRANSFER,Indoor/Outdoor Games,Chicago,EE. UU.,Consumer,IL,Fan Shop,LATAM,Maracaibo,Venezuela,South America,Zulia,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.89999774,4.0,0.1350000015,5
TRANSFER,Indoor/Outdoor Games,Chicago,EE. UU.,Consumer,IL,Fan Shop,LATAM,Santiago de Cuba,Cuba,Caribbean,Santiago de Cuba,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.8999939,4.0,0.050000001,5
TRANSFER,Indoor/Outdoor Games,Chicago,EE. UU.,Corporate,IL,Fan Shop,LATAM,Santa Clara,Cuba,Caribbean,Villa Clara,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,249.8999939,4.0,0.050000001,5
TRANSFER,Indoor/Outdoor Games,Chicago,EE. UU.,Home Office,IL,Fan Shop,LATAM,Managua,Nicaragua,Central America,Managua,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,149.9400024,4.0,0.150000006,3
TRANSFER,Indoor/Outdoor Games,Cleveland,EE. UU.,Corporate,OH,Fan Shop,LATAM,Huehuetenango,Guatemala,Central America,Huehuetenango,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,99.95999908,4.0,0.050000001,2
TRANSFER,Indoor/Outdoor Games,Cleveland,EE. UU.,Home Office,OH,Fan Shop,LATAM,San Pedro de Macorís,República Dominicana,Caribbean,San Pedro de Macorís,O'Brien Men's Neoprene Life Vest,Second Class,2015,1,249.8999939,2.0,0.119999997,5
TRANSFER,Indoor/Outdoor Games,Colorado Springs,EE. UU.,Consumer,CO,Fan Shop,LATAM,San Pablo de las Salinas,México,Central America,México,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,99.95999908,4.0,0.100000001,2
TRANSFER,Indoor/Outdoor Games,Columbia,EE. UU.,Consumer,SC,Fan Shop,LATAM,Maceió,Brasil,South America,Alagoas,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,199.9199982,4.0,0.07,4
TRANSFER,Indoor/Outdoor Games,Corona,EE. UU.,Consumer,NY,Fan Shop,LATAM,Mérida,México,Central America,Yucatán,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1,199.9199982,4.0,0.200000003,4
TRANSFER,Indoor/Outdoor Games,Dallas,EE. UU.,Home Office,TX,Fan Shop,LATAM,Guayaquil,Ecuador,South America,Guayas,O'Brien Men's Neoprene Life Vest,First Class,2015,1,99.95999908,1.0,0.07,2
